Date,LabNumber,Name,Sample#,Distance,Min Depth,Max Depth,"C
 %","N
 %",CN Ratio,SoilpH,BufferpH,P,K,Ca,Mg,Zn,Mn,Cu,B,Na,NO3-N,OM,CEC,Acidity,Ca%BS,Mg%BS,K%BS,Na%BS,Total%BS
25/11/2024,24111761,"Flinchum, Brady",1,0,-999,-999,8.432,0.330,25.6,4.9,7.15,35,104,437,60,3.5,13,0.2,1.8,22,0,9.23,8.3,6.8,13,3,2,1,18
25/11/2024,24111762,"Flinchum, Brady",2,5,-999,-999,36.860,1.535,24.0,4.1,7,22,205,376,55,6.6,23,0.6,1.8,11,0,56.06,9.5,8,10,2,3,0,15
25/11/2024,24111763,"Flinchum, Brady",3,10,-999,-999,26.284,1.497,17.6,4.3,6.6,21,130,550,79,9,36,0.7,1.9,5,1,48.48,13.1,11.2,10,3,1,0,14
25/11/2024,24111764,"Flinchum, Brady",4,15,-999,-999,17.170,0.842,20.4,4.1,6.8,18,116,468,60,5.5,13,0.6,2,6,1,22,11.2,9.6,10,2,1,0,14
25/11/2024,24111765,"Flinchum, Brady",5,20,-999,-999,8.097,0.506,16.0,4.4,7,35,79,141,21,2.8,6,1,2.2,7,2,18.34,8.6,8,4,1,1,0,6
25/11/2024,24111766,"Flinchum, Brady",6,25,-999,-999,32.740,1.896,17.3,4.3,6.8,22,126,1530,71,17,160,0.6,1.8,4,14,50.21,13.9,9.6,28,2,1,0,31
25/11/2024,24111767,"Flinchum, Brady",7,30,-999,-999,25.750,1.346,19.1,4.2,6.55,19,130,1778,138,19.1,132,0.6,2,6,4,42.3,16.8,11.6,26,3,1,0,31
25/11/2024,24111768,"Flinchum, Brady",8,35,-999,-999,33.983,1.749,19.4,4.2,6.65,20,156,2032,108,23.4,126,0.5,1.9,7,5,62.12,16.5,10.8,31,3,1,0,35
25/11/2024,24111769,"Flinchum, Brady",10,45,-999,-999,4.538,0.243,18.7,4.8,7.4,13,100,1255,59,6.6,80,0.4,2,8,9,8.07,8.3,4.8,38,3,2,0,43
25/11/2024,24111770,"Flinchum, Brady",11,50,0,0.25,3.707,0.197,18.8,4.6,7.05,19,79,332,34,4,46,0.3,2.1,7,10,6.05,8.7,7.6,10,2,1,0,13
25/11/2024,24111771,"Flinchum, Brady",12,50,0.25,0.5,2.503,0.111,22.5,4.7,7.2,27,48,220,15,2.3,29,0.3,1.6,5,5,4.71,7.1,6.4,8,1,1,0,10
25/11/2024,24111772,"Flinchum, Brady",13,54,0,0.25,3.436,0.148,23.2,4.7,7.2,26,51,170,16,2.7,26,0.4,2,7,6,4.75,7,6.4,6,1,1,0,8
25/11/2024,24111773,"Flinchum, Brady",14,54,0.25,0.5,2.506,0.085,29.5,4.9,7.35,39,44,169,13,1.7,16,0.3,1.7,7,3,3.49,5.7,5.2,7,1,1,0,10
25/11/2024,24111774,"Flinchum, Brady",15,54,0.5,1,2.628,0.103,25.5,4.8,7.15,28,46,204,20,2.2,22,0.3,1.8,7,7,4.71,7.5,6.8,7,1,1,0,9
25/11/2024,24111775,"Flinchum, Brady",16,60,-999,-999,2.893,0.135,21.4,4.6,7.2,23,164,320,45,4.1,76,0.3,2.1,9,23,5.82,7.6,6.4,11,2,3,0,16
25/11/2024,24111776,"Flinchum, Brady",17,65,0,0.25,3.907,0.171,22.8,5,7.15,37,75,172,29,1.5,40,0.4,2.2,12,6,7.77,7.5,6.8,6,2,1,0,9
25/11/2024,24111777,"Flinchum, Brady",18,65,0.25,0.5,4.264,0.149,28.6,5.1,7.15,17,45,151,13,1.2,36,0.2,1.7,7,4,6.58,7.3,6.8,5,1,1,0,7
25/11/2024,24111778,"Flinchum, Brady",19,70,0,0.25,4.906,0.185,26.5,5,7.15,14,52,237,22,2.3,31,0.3,2,9,2,5.19,7.6,6.8,8,1,1,0,10
25/11/2024,24111779,"Flinchum, Brady",20,70,0.25,0.5,2.501,0.086,29.1,5,7.3,9,32,65,7,0.6,11,0.2,1.7,7,1,3.59,5.8,5.6,3,1,1,0,4
25/11/2024,24111780,"Flinchum, Brady",21,70,0.5,1,1.989,0.059,33.7,5.1,7.35,8,29,60,5,0.7,11,0.2,1.6,5,1,3.03,5.4,5.2,3,0,1,0,4
