Name,Date,Sample,Lab Number,Soil pH,Buffer pH,P (lbs/A),K (lbs/A),Ca (lbs/A),Mg (lbs/A),Zn (lbs/A),Mn (lbs/A),Cu (lbs/A),B (lbs/A),Na (lbs/A),NO3-N (ppm),OM (%),CEC (meg/100g),Acidity (meg/100g),Ca (%),Mg  (%),K  (%),Na  (%),C (%),N (%),Total  (%),Distance Along L1 (m),Min Depth (m),Max Depth (m)
"Flinchum, Brady",11/25/2024,1,24111761,4.9,7.15,35,104,437,60,3.5,13,0.2,1.8,22,0,9.23,8.3,6.8,13,3,2,1,8.432,0.33,18,0,-999,-999
"Flinchum, Brady",11/25/2024,2,24111762,4.1,7,22,205,376,55,6.6,23,0.6,1.8,11,0,56.06,9.5,8,10,2,3,0,36.86,1.535,15,5,-999,-999
"Flinchum, Brady",11/25/2024,3,24111763,4.3,6.6,21,130,550,79,9,36,0.7,1.9,5,1,48.48,13.1,11.2,10,3,1,0,26.284,1.497,14,10,-999,-999
"Flinchum, Brady",11/25/2024,4,24111764,4.1,6.8,18,116,468,60,5.5,13,0.6,2,6,1,22,11.2,9.6,10,2,1,0,17.17,0.842,14,15,-999,-999
"Flinchum, Brady",11/25/2024,5,24111765,4.4,7,35,79,141,21,2.8,6,1,2.2,7,2,18.34,8.6,8,4,1,1,0,8.097,0.506,6,20,-999,-999
"Flinchum, Brady",11/25/2024,6,24111766,4.3,6.8,22,126,1530,71,17,160,0.6,1.8,4,14,50.21,13.9,9.6,28,2,1,0,32.74,1.896,31,25,-999,-999
"Flinchum, Brady",11/25/2024,7,24111767,4.2,6.55,19,130,1778,138,19.1,132,0.6,2,6,4,42.3,16.8,11.6,26,3,1,0,25.75,1.346,31,30,-999,-999
"Flinchum, Brady",11/25/2024,8,24111768,4.2,6.65,20,156,2032,108,23.4,126,0.5,1.9,7,5,62.12,16.5,10.8,31,3,1,0,33.983,1.749,35,35,-999,-999
"Flinchum, Brady",11/25/2024,10,24111769,4.8,7.4,13,100,1255,59,6.6,80,0.4,2,8,9,8.07,8.3,4.8,38,3,2,0,4.538,0.243,43,45,-999,-999
"Flinchum, Brady",11/25/2024,11,24111770,4.6,7.05,19,79,332,34,4,46,0.3,2.1,7,10,6.05,8.7,7.6,10,2,1,0,3.707,0.197,13,50,0,0.25
"Flinchum, Brady",11/25/2024,12,24111771,4.7,7.2,27,48,220,15,2.3,29,0.3,1.6,5,5,4.71,7.1,6.4,8,1,1,0,2.503,0.111,10,50,0.25,0.5
"Flinchum, Brady",11/25/2024,13,24111772,4.7,7.2,26,51,170,16,2.7,26,0.4,2,7,6,4.75,7,6.4,6,1,1,0,3.436,0.148,8,54,0,0.25
